ICMR 1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global communications revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from  various sources: PwC Global Entertainment and Media Outlook 2014-2018 @ www.pwc.com/outlook for television and radio revenues (both include advertising, license fees and subscription services only), Wik Consult / Ofcom estimates for postal revenues. IHS / industry data / Ofcom for telecoms revenues, which refer to retail revenues for fixed voice, broadband and mobile services. Interpretation and manipulation of data are solely Ofcom's responsibility. Ofcom has used IMF 2013 average exchange rates in converting from local currency to GBP.Note: Postal revenues are for our 17 comparator countries only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(£bn),2008,2009,2010,2011,2012,2013,CAGR,YoY,,,,,,,,,,,,,,,,,,,,,
ESP,2014,28.13,30.45,28.45,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2013,25.76,26.54,59.93,1.32,0,,,,,,,,,,,,,,,,,,,,,,,
USA,2014,27.55,28.72,55.29,0.93,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom, using data supplied by Teligen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Weighted average of best-value tariff from each of the three largest operators by market share in each country; July 2013 and July 2014; PPP adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basket 2: comparative ‘lowest available’ pricing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fixed voice & bb access,"Fixed voice, bb & mobile access",Fixed voice,Fixed broadband,Mobile,TV hardware,TV licence,,,,,,,,,,,,,,,,,,,,,
UK,2013,,19.5,0.12,0,14.84,0,12.13,,,,,,,,,,,,,,,,,,,,,
UK,2014,23.75,,0.32,0.14,15.31,0,12.13,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2013,31.04,,0,0,14.68,0.73,8.94,,,,,,,,,,,,,,,,,,,,,
FRA,2014,26.67,,0.82,0.99,4,0.96,9.86,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,2013,14.62,,4.37,0,20.57,2.24,15.8,,,,,,,,,,,,,,,,,,,,,
GER,2014,18.9,,4.76,0,23.06,0.62,17,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2013,24.8,,2.12,0,11.97,0,8.09,,,,,,,,,,,,,,,,,,,,,
ITA,2014,27.17,,2.33,0,11.55,0,8.86,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,2013,,38.98,0.82,0,11.06,0,0,,,,,,,,,,,,,,,,,,,,,
ESP,2014,35.29,,2.45,0,12.65,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2013,32.67,,0.45,0,44.09,1.32,0,,,,,,,,,,,,,,,,,,,,,
USA,2014,42.24,,0.85,0,42.95,0.93,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom using data supplied by Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Lowest tariff available for each service type from any of the largest operators by market share in each country, July 2013 and July 2014; PPP adjusted; where a service is included in a bundle any additional usage charges are recorded separately against the relevant service.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basket 3: ‘weighted average’ stand-alone pricing
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mobile,Mobile broadband,TV (inc. hardware),TV licence,,,,,,,,,,,,,,,,,,,,,,,,
UK,2013,51.09,15,19.97,12.13,,,,,,,,,,,,,,,,,,,,,,,,
UK,2014,47.65,15.99,16.9,12.13,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2013,38.4,16.37,21.76,8.94,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2014,42.17,14.81,24.32,9.86,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,2013,89.49,19.03,27.13,15.8,,,,,,,,,,,,,,,,,,,,,,,,
GER,2014,73.59,20.41,36.25,17,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2013,62.56,11.15,26.15,8.09,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2014,60,13.12,17.88,8.86,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,2013,71.14,27.84,28.02,0,,,,,,,,,,,,,,,,,,,,,,,,
ESP,2014,66.93,30.27,30.7,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2013,72.8,35.13,36.16,0,,,,,,,,,,,,,,,,,,,,,,,,
USA,2014,85.99,28.52,38.59,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom, using data supplied by Teligen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Weighted average of best-value tariff from each of the three largest operators by market share in each country; July 2013 and July 2014; PPP adjusted; the figure for mobile broadband is the lowest available stand-alone cost.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basket 3: comparative ‘lowest available’ pricing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Fixed voice, bb & TV access",Mobile,Mobile broadband,TV (inc. hardware),TV licence,,,,,,,,,,,,,,,,,,,,,,,
UK,2013,,23.56,15,15.64,12.13,,,,,,,,,,,,,,,,,,,,,,,
UK,2014,0,36.19,15.99,16.82,12.13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2013,,34.02,16.37,19.96,8.94,,,,,,,,,,,,,,,,,,,,,,,
FRA,2014,17.78,26.3,14.81,1.21,9.86,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,2013,,61.48,19.03,20.48,15.8,,,,,,,,,,,,,,,,,,,,,,,
GER,2014,0,64.59,20.41,16.28,17,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2013,,41.61,11.15,12.24,8.09,,,,,,,,,,,,,,,,,,,,,,,
ITA,2014,0,50.75,13.12,11.19,8.86,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,2013,,62.95,27.84,28.02,0,,,,,,,,,,,,,,,,,,,,,,,
ESP,2014,0,45.4,30.27,30.7,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2013,,52.44,35.13,24.5,0,,,,,,,,,,,,,,,,,,,,,,,
USA,2014,0,72.72,28.52,16.89,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom using data supplied by Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Lowest tariff available for each service type from any of the largest operators by market share in each country, July 2013 and July 2014; PPP adjusted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basket 4: ‘weighted average’ stand-alone pricing
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fixed voice,Fixed broadband,Mobile,TV (inc. hardware),TV licence,,,,,,,,,,,,,,,,,,,,,,,
UK,2013,23.6,12.15,95.78,19.97,12.13,,,,,,,,,,,,,,,,,,,,,,,
UK,2014,24.9,18.92,88.81,16.9,12.13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2013,33.2,16.2,88.68,21.76,8.94,,,,,,,,,,,,,,,,,,,,,,,
FRA,2014,36.23,29.91,84.02,24.32,9.86,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,2013,31.74,29.38,150.83,27.13,15.8,,,,,,,,,,,,,,,,,,,,,,,
GER,2014,31.79,32,160.77,36.25,17,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2013,27.48,22.17,88.05,29.22,8.09,,,,,,,,,,,,,,,,,,,,,,,
ITA,2014,29.82,39.72,117.65,19.89,8.86,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,2013,29.75,35.12,124.2,28.02,0,,,,,,,,,,,,,,,,,,,,,,,
ESP,2014,30.58,30.45,131.61,30.7,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2013,28.39,34,231.02,36.16,0,,,,,,,,,,,,,,,,,,,,,,,
USA,2014,29.7,32.82,185.21,38.59,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom, using data supplied by Teligen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Weighted average of best-value tariff from each of the three largest operators by market share in each country; July 2013 and July 2014; PPP adjusted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basket 4: comparative ‘lowest available’ pricing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Fixed voice, bb, TV & mobile access","Fixed voice, bb & TV access","Fixed voice, bb & mobile access",Fixed voice & bb access,Fixed voice & mobile access,Mobile & mobile broadband access,Fixed voice,Fixed broadband,Mobile,TV (inc. hardware),TV licence,,,,,,,,,,,,,,,,,
UK,2013,,27.88,,,,,3.11,0,52.52,0,12.13,,,,,,,,,,,,,,,,,
UK,2014,,30.94,,,,,3.22,0.14,61.57,0,12.13,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2013,58.06,,,,,,0,0,20.78,1.11,8.94,,,,,,,,,,,,,,,,,
FRA,2014,44.38,,,,,,0,1.24,22.55,11.83,9.86,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,2013,,15.11,,,,,5.31,0,127.59,8.79,15.8,,,,,,,,,,,,,,,,,
GER,2014,,,,,52.78,,17.39,17.01,22.11,22.04,17,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2013,,24.8,,,,,2.63,0,75.83,0,8.09,,,,,,,,,,,,,,,,,
ITA,2014,,,33.79,,,,8.02,0,63.41,11.19,8.86,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,2013,,,,22.22,,,1.6,0,105.92,28.02,0,,,,,,,,,,,,,,,,,
ESP,2014,,,53.24,,,,14.03,0,34.45,30.7,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2013,,,,32.67,,,0.56,0,166.67,24.5,0,,,,,,,,,,,,,,,,,
USA,2014,,,,,,54.93,18.45,27.45,100.64,16.89,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom using data supplied by Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Lowest tariff available for each service type from any of the largest operators by market share in each country, July 2013 and July 2014; PPP adjusted; where a service is included in a bundle any additional usage charges are recorded separately against the relevant service.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basket 5: ‘weighted average’ stand-alone pricing
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fixed voice,Fixed broadband,Mobile,TV (inc. hardware),TV licence,,,,,,,,,,,,,,,,,,,,,,,
UK,2013,19.99,19.3,58.64,67.74,12.13,,,,,,,,,,,,,,,,,,,,,,,
UK,2014,21.24,24,61.77,65.4,12.13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2013,20.58,16.2,60.02,37.25,8.94,,,,,,,,,,,,,,,,,,,,,,,
FRA,2014,23.22,36.5,62.66,45.13,9.86,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,2013,22.86,37.36,93.96,49.03,15.8,,,,,,,,,,,,,,,,,,,,,,,
GER,2014,23.13,36.26,97.01,59.72,17,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2013,21.35,21.71,67.92,40.34,8.09,,,,,,,,,,,,,,,,,,,,,,,
ITA,2014,23.35,40.39,72.84,41.5,8.86,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,2013,21.65,43.74,88.27,48.53,0,,,,,,,,,,,,,,,,,,,,,,,
ESP,2014,21.13,30.45,82.16,52.79,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2013,19.51,40.66,129.51,69.35,0,,,,,,,,,,,,,,,,,,,,,,,
USA,2014,22.46,65.78,112.54,74.65,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom, using data supplied by Teligen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Weighted average of best-value tariff from each of the three largest operators by market share in each country; July 2013 and July 2014; PPP adjusted; the figure for mobile broadband is the lowest available stand-alone cost; 1 In France in 2013 Household 5 includes a connection below 30Mbit/s because none of the ISPs included in our pricing model offered a suitable ‘up to’ 30Mbit/s or higher service.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basket 5: comparative ‘lowest available’ pricing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Fixed voice, bb & TV access","Fixed voice, bb & mobile access",Fixed and bb access,Fixed & mobile access,Fixed voice,Fixed broadband,Mobile,TV,TV licence,,,,,,,,,,,,,,,,,,,
UK,2013,91.13,,,,1.57,0,34.53,0,12.13,,,,,,,,,,,,,,,,,,,
UK,2014,76.5,,,,1.25,0.19,42.49,0.97,12.13,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2013,,,31.04,,0,0,51.82,34.7,8.94,,,,,,,,,,,,,,,,,,,
FRA,2014,55.11,,,,2.14,0,46.63,4.45,9.86,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,2013,,,,55.99,0.09,20.45,17.53,27.49,15.8,,,,,,,,,,,,,,,,,,,
GER,2014,,,,55.53,0.1,21.74,19.23,29.58,17,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2013,49.6,,,,0.05,0,50.8,0,8.09,,,,,,,,,,,,,,,,,,,
ITA,2014,45.91,,,,0.06,0,56.19,0.75,8.86,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,2013,,,16.7,,1.76,0,74.85,48.53,0,,,,,,,,,,,,,,,,,,,
ESP,2014,,53.24,,,1.93,0,34.8,52.79,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2013,0,,,,16.2,36.75,97.9,47.36,0,,,,,,,,,,,,,,,,,,,
USA,2014,,,46.43,,1.63,1.46,99.16,65.04,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom using data supplied by Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Lowest tariff available for each service type from any of the largest operators by market share in each country, July 2013 and July 2014; PPP adjusted; where a service is included in a bundle any additional usage charges are recorded separately against the relevant service.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Difference between ‘lowest available’ prices, including and excluding bundles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Household 2,,,,,,,Household 4,,,,,,,Household 5,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,ESP,USA,,UK,FRA,GER,ITA,ESP,USA,,UK,FRA,GER,ITA,ESP,USA,,,,,,,,,
Excluding bundles,63.05,60.58,73.54,56.86,66.28,89.49,,127.61,149.58,202.73,161.09,181.77,222.57,,154.83,154.32,159.38,141.83,155.82,214.91,,,,,,,,,
Including bundles,51.64,43.3,64.34,49.91,50.39,86.98,,107.99,89.85,148.32,125.26,132.41,218.36,,133.52,118.19,143.18,111.78,142.77,213.71,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom using data supplied by Teligen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Lowest tariff available for each service type from any of the largest operators by market share in each country, PPP adjusted; where a service is included in a bundle any additional usage charges are recorded separately against the relevant service.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV industry metrics 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IHS / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,NED,SWE,POL,SGP,KOR,BRA,RUS,IND,CHN,NGA,,,,,,,,,,
TV revenue (£bn),,13.4,8.8,18.9,6.7,110.2,20.6,4.6,3,2.6,1.9,2.2,0.6,5.2,12.1,4.3,5,20.6,0.5,,,,,,,,,,
Revs change (% YOY),,3.40%,0.40%,2.50%,-4.50%,2.00%,2.30%,3.40%,-6.20%,1.50%,2.00%,-1.30%,3.50%,5.80%,15.80%,13.60%,15.00%,16.60%,19.50%,,,,,,,,,,
Revenue per cap (£),,210,134,230,109,348,162,199,63,158,202,57,110,106,61,30,4,15,3,,,,,,,,,,
from advertising,,92,57,66,41,193,56,60,28,82,97,38,44,67,33,8,2,7,2,,,,,,,,,,
from subscription,,59,35,105,25,0,32,33,5,29,43,1,0,7,0,0,0,0,0,,,,,,,,,,
From public funds,,58,41,59,44,155,74,106,30,47,62,18,67,32,28,22,1,8,1,,,,,,,,,,
TV licence fee¹,,145.5,113,183.32,96.43,0,91.67,0,0,0,203.87,46.88,0,17.53,0,0,0,0,0,,,,,,,,,,
Largest TV platform,Platform,Dsat,IPTV,Dsat,DTT,Dcab,Dcab,DTT,DTT,Dcab,Acab,Dsat,DTT,Acab,Asat,Dsat,Acab,Dcab,Dsat,,,,,,,,,,
,% of homes,42%,40%,43%,73%,40%,51%,70%,76%,48%,27%,58%,37%,29%,34%,34%,43%,39%,71%,,,,,,,,,,
DTV take-up (%),,100%,95%,68%,100%,95%,100%,100%,99%,86%,73%,85%,100%,71%,36%,61%,56%,75%,84%,,,,,,,,,,
Pay TV take-up (%),,52.80%,76.30%,57.10%,33.00%,84.10%,69.80%,29.10%,22.00%,98.50%,83.80%,84.20%,62.90%,93.90%,30.60%,68.40%,98.80%,61.00%,17.80%,,,,,,,,,,
DSO date,,2012,2011,2008,2012,2009,2012,2013,2010,2006,2007,2013,2020,2012,2018,2018,2017,2015,2016,,,,,,,,,,
TV viewing (min/day),,232,226,221,261,293,265,201,244,195,159,247,n/a,217,217,239,n/a,159,n/a,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Global TV broadcast advertising, public license fee and channel subscription revenues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (£bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Data derived from PwC Global Entertainment and Media Outlook: 2014-2018 @ www.pwc.com/outlook. Notes: Ofcom is responsible for all growth calculations displayed. Ofcom uses an exchange rate of $1.563 to the GBP in line with the IMF average for 2013.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,2009,2010,2011,2012,2013,,,,,,,,,,,,,,,,,,,,,,,,
Global TV revenue,208,225,236,246,254,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global TV industry revenues by source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Data derived from PwC Global Entertainment and Media Outlook: 2014-2018 @ www.pwc.com/outlook. Notes: Ofcom is responsible for all growth calculations displayed. Ofcom uses an exchange rate of $1.563 to the GBP in line with the IMF average for 2013.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,2009,2010,2011,2012,2013,,,,,,,,,,,,,,,,,,,,,,,,
Global subscriptions,102,109,116,122,127,,,,,,,,,,,,,,,,,,,,,,,,
Global public funds ,23,23,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,
Global advertising ,84,93,97,101,103,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take-up of digital and analogue television: 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of TV homes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IHS/ industry data/ Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column1,Digital,Analogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,0.945666103,0.054333897,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,0.684590042,0.315409958,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,0.947136901,0.052863099,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,0.991152218,0.008847782,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,0.860953201,0.139046799,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,0.729092137,0.270907863,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,0.849501081,0.150498919,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGP,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,0.712871262,0.287128738,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,0.359124616,0.640875384,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,0.606632064,0.393367936,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,0.559486976,0.440513024,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,0.754470867,0.245529133,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,0.835896889,0.164103111,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
